"native","family","physiognomy","synonymGC","commonName","nameDNR"
"I","Asteraceae","H","Artemisia vulgaris","common wormwood","Artemisia vulgaris"
"N","Aristolochiaceae","H","Asarum canadense","wild ginger","Asarum canadense"
"N","Apocynaceae","H","Asclepias amplexicaulis","clasping milkweed","Asclepias amplexicaulis"
"N","Apocynaceae","H","Asclepias exaltata","poke milkweed","Asclepias exaltata"
"N","Apocynaceae","H","Asclepias hirtella","prairie milkweed","Asclepias hirtella"
"N","Apocynaceae","H","Asclepias incarnata var. incarnata","swamp milkweed","Asclepias incarnata subsp. incarnata"
"N","Apocynaceae","H","Asclepias lanuginosa","woolly milkweed","Asclepias lanuginosa"
"N","Apocynaceae","H","Asclepias ovalifolia","oval-leaved milkweed","Asclepias ovalifolia"
"N","Apocynaceae","H","Asclepias speciosa","showy milkweed","Asclepias speciosa"
"N","Apocynaceae","H","Asclepias stenophylla","narrow-leaved milkweed","Asclepias stenophylla"
"N","Apocynaceae","H","Asclepias sullivantii","Sullivant's milkweed","Asclepias sullivantii"
"N","Apocynaceae","H","Asclepias syriaca","common milkweed","Asclepias syriaca"
"N","Apocynaceae","H","Asclepias tuberosa var. interior","butterflyweed","Asclepias tuberosa subsp. interior"
"N","Apocynaceae","H","Asclepias verticillata","whorled milkweed","Asclepias verticillata"
"N","Apocynaceae","H","Asclepias viridiflora","green milkweed","Asclepias viridiflora"
"I","Liliaceae","H","Asparagus officinalis","asparagus","Asparagus officinalis"
"N","Aspleniaceae","H","Asplenium platyneuron","ebony spleenwort","Asplenium platyneuron"
"N","Aspleniaceae","H","Asplenium rhizophyllum","walking fern","Asplenium rhizophyllum"
"N","Aspleniaceae","H","","maidenhair spleenwort","Asplenium trichomanes subsp. trichomanes"
"N","Fabaceae","H","Astragalus agrestis","fieldmilk-vetch","Astragalus agrestis"
"N","Fabaceae","H","Astragalus alpinus var. alpinus","alpine milk-vetch","Astragalus alpinus var. alpinus"
"N","Fabaceae","H","Astragalus canadensis","Canada milk-vetch","Astragalus canadensis var. canadensis"
"I","Fabaceae","H","Astragalus cicer","","Astragalus cicer"
"N","Fabaceae","H","Astragalus crassicarpus var. crassicarpus","ground plum","Astragalus crassicarpus var. crassicarpus"
