"native","family","physiognomy","synonymGC","commonName","nameDNR"
"N","Ranunculaceae","H,S","Ranunculus flammula var. filiformis","creeping spearwort","Ranunculus flammula var. reptans"
"N","Ranunculaceae","H,S","Ranunculus gmelinii, Ranunculus gmelinii var. gmelinii, Ranunculus gmelinii var. hookeri","small yellow water crowfoot","Ranunculus gmelinii"
"N","Ranunculaceae","H","Ranunculus hispidus","hispid buttercup","Ranunculus hispidus"
"N","Ranunculaceae","H","Ranunculus hispidus var. caricetorum","hispid buttercup","Ranunculus hispidus var. caricetorum"
"N","Ranunculaceae","H","Ranunculus hispidus var. nitidus","hispid buttercup","Ranunculus hispidus var. nitidus"
"N","Ranunculaceae","H","Ranunculus lapponicus","Lapland buttercup","Ranunculus lapponicus"
"N","Ranunculaceae","H","Ranunculus macounii","Macoun's buttercup","Ranunculus macounii"
"N","Ranunculaceae","H","Ranunculus pensylvanicus","bristly buttercup","Ranunculus pensylvanicus"
"N","Ranunculaceae","H","Ranunculus recurvatus","hooked crowfoot","Ranunculus recurvatus var. recurvatus"
"I","Ranunculaceae","H","Ranunculus repens","creeping buttercup","Ranunculus repens"
"N","Ranunculaceae","H","Ranunculus rhomboideus","prairie buttercup","Ranunculus rhomboideus"
"N","Ranunculaceae","H","Ranunculus sceleratus","cursed crowfoot","Ranunculus sceleratus"
"N","Ranunculaceae","H","Ranunculus sceleratus var. multifidus","cursed crowfoot","Ranunculus sceleratus var. multifidus"
"N","Ranunculaceae","H","Ranunculus sceleratus var. sceleratus","cursed crowfoot","Ranunculus sceleratus var. sceleratus"
"I","Ranunculaceae","H","Ranunculus testiculatus","","Ranunculus testiculatus"
"I","Brassicaceae","H","Raphanus raphanistrum","jointed charlock","Raphanus raphanistrum"
"N","Asteraceae","H","Ratibida columnifera","prairie coneflower","Ratibida columnifera"
"N","Asteraceae","H","Ratibida pinnata","gray-headed coneflower","Ratibida pinnata"
"N","Rhamnaceae","D","Rhamnus alnifolia","alderleaf buckthorn","Rhamnus alnifolia"
"I","Rhamnaceae","D","Rhamnus cathartica","common buckthorn","Rhamnus cathartica"
"N","unknown","H","Sedum rosea var. integrifolium","Leedy's roseroot","Rhodiola integrifolia subsp. leedyi"
"N","Ericaceae","B","Ledum groenlandicum","Labrador tea","Rhododendron groenlandicum"
"U","Anacardiaceae","D","Rhus aromatica var. aromatica","fragrant sumac","Rhus aromatica var. aromatica"
"N","Anacardiaceae","D","Rhus glabra","smooth sumac","Rhus glabra"
"N","Anacardiaceae","D","Rhus typhina","staghorn sumac","Rhus typhina"
"N","Anacardiaceae","D","Rhus xborealis","hybrid sumac","Rhus xborealis"
"N","Cyperaceae","G","Rhynchospora alba","white beak rush","Rhynchospora alba"
"N","Cyperaceae","G","Rhynchospora capillacea","hair-like beak rush","Rhynchospora capillacea"
"N","Cyperaceae","G","Rhynchospora capitellata","brownish beaksedge","Rhynchospora capitellata"
"N","Cyperaceae","G","Rhynchospora fusca","sooty-colored beak rush","Rhynchospora fusca"
"N","Grossulariaceae","D","Ribes americanum","wild black currant","Ribes americanum"
"N","Grossulariaceae","D","Ribes odoratum","clove current","Ribes aureum var. villosum"
"N","Grossulariaceae","D","Ribes cynosbati","prickly gooseberry","Ribes cynosbati"
"N","Grossulariaceae","D","Ribes glandulosum","skunk currant","Ribes glandulosum"
"N","Grossulariaceae","D","Ribes hirtellum","swamp gooseberry","Ribes hirtellum"
"N","Grossulariaceae","D","Ribes hudsonianum","northern black currant","Ribes hudsonianum"
"N","Grossulariaceae","D","Ribes lacustre","swamp black currant","Ribes lacustre"
"N","Grossulariaceae","D","Ribes missouriense","Missouri gooseberry","Ribes missouriense"
"I","Grossulariaceae","D","Ribes nigrum","black currant","Ribes nigrum"
"N","Grossulariaceae","D","Ribes oxyacanthoides var. oxyacanthoides","northern gooseberry","Ribes oxyacanthoides var. oxyacanthoides"
"I","Grossulariaceae","D","Ribes sativum","red currant","Ribes rubrum"
"N","Grossulariaceae","D","Ribes triste","swamp red currant","Ribes triste"
"I","Fabaceae","D","Robinia hispida var. hispida","prickly locust","Robinia hispida"
"I","Fabaceae","D","Robinia pseudoacacia","black locust","Robinia pseudoacacia"
"N","Brassicaceae","F,H","Armoracia lacustris","lakecress","Rorippa aquatica"
"N","Brassicaceae","H","","bluntleaf yellowcress","Rorippa curvipes"
"N","Brassicaceae","H","Rorippa palustris","Icelandic yellow cress","Rorippa palustris"
"N","Brassicaceae","H","Rorippa palustris var. hispida","Icelandic yellow cress","Rorippa palustris subsp. hispida"
"N","Brassicaceae","H","Rorippa palustris var. fernaldiana, Rorippa palustris var. palustris","Icelandic yellow cress","Rorippa palustris subsp. palustris"
"N","Brassicaceae","H","Rorippa sessiliflora","sessile-flowered yellow cress","Rorippa sessiliflora"
"N","Brassicaceae","H","Rorippa sinuata","spreading yellow cress","Rorippa sinuata"
"N","Brassicaceae","H","","roundfruit yellowcress","Rorippa sphaerocarpa"
"I","Brassicaceae","H","Rorippa sylvestris","creeping yellow cress","Rorippa sylvestris"
"N","Rosaceae","D","Rosa acicularis subsp. sayi","prickly rose","Rosa acicularis subsp. sayi"
"N","Rosaceae","D","Rosa arkansana","prairie rose","Rosa arkansana"
"N","Rosaceae","D","Rosa blanda","smooth wild rose","Rosa blanda"
"I","Rosaceae","D","Rosa multiflora","multiflora rose","Rosa multiflora"
"I","Rosaceae","D","Rosa rugosa","Japanese rose","Rosa rugosa"
"N","Rosaceae","D","Rosa woodsii var. woodsii","Wood's rose","Rosa woodsii var. woodsii"
"N","Rosaceae","D","","rose","Rosa xdulcissima"
"N","Lythraceae","H","Rotala ramosior","toothcup","Rotala ramosior"
"N","Rosaceae","D","Rubus pensilvanicus s.l.","mountain blackberry","Rubus ablatus"
"N","Rosaceae","D","Rubus acridens","sharp-toothed blackberry","Rubus acridens"
"N","Rosaceae","D","Rubus allegheniensis s.l.","Allegheny blackberry","Rubus allegheniensis"
"N","Rosaceae","D","Rubus allegheniensis s.l.","oldfield blackberry","Rubus alumnus"
"N","Rosaceae","H","","Arctic dwarf raspberry","Rubus arcticus subsp. acaulis"
"N","Rosaceae","D","Rubus canadensis s.l.","smooth blackberry","Rubus canadensis"
"N","Rosaceae","D","Rubus chamaemorus","cloudberry","Rubus chamaemorus"
"N","Rosaceae","D","Rubus setosus","dissenting bristle-berry","Rubus dissensus"
"N","Rosaceae","D","Rubus flagellaris s.l.","Iron River dewberry","Rubus ferrofluvius"
"N","Rosaceae","D","Rubus pensilvanicus s.l.","leafy-flowered blackberry","Rubus frondosus"
"N","Rosaceae","D","Rubus setosus","Fuller's bristle-berry","Rubus fulleri"
"N","Rosaceae","D","Rubus setosus","Grout's bristle-berry","Rubus groutianus"
"U","Rosaceae","D","Rubus idaeus","American red raspberry","Rubus idaeus"
"I","Rosaceae","D","","European raspberry","Rubus idaeus var. idaeus"
"N","Rosaceae","D","Rubus idaeus var. strigosus","wild red raspberry","Rubus idaeus var. strigosus"
"N","Rosaceae","D","Rubus flagellaris s.l.","Ithica dewberry","Rubus ithacanus"
"N","Rosaceae","D","","Missouri bristle-berry","Rubus missouricus"
"N","Rosaceae","D","Rubus flagellaris s.l.","Kinnickinnick dewberry","Rubus multifer"
"N","Rosaceae","D","Rubus occidentalis","black raspberry","Rubus occidentalis"
"N","Rosaceae","D","Rubus parviflorus","thimbleberry","Rubus parviflorus"
"I","Rosaceae","D","","small-leaf bramble","Rubus parvifolius"
"N","Rosaceae","D","Rubus flagellaris s.l., Rubus recurvicaulis","plaitleaf dewberry","Rubus plicatifolius"
"N","Rosaceae","H","Rubus pubescens","dwarf raspberry","Rubus pubescens"
"N","Rosaceae","D","","Prince Edward Island blackberry","Rubus quaesitus"
"N","Rosaceae","D","Rubus pensilvanicus s.l.","recurved blackberry","Rubus recurvans"
"N","Rosaceae","D","Rubus setosus","a species of bristleberry","Rubus regionalis"
"N","Rosaceae","D","Rubus xrosa","rose blackberry","Rubus rosa"
"N","Rosaceae","D","Rubus flagellaris s.l.","Downy dewberry","Rubus satis"
"N","Rosaceae","D","Rubus setosus","swamp blackberry","Rubus semisetosus"
"N","Rosaceae","D","Rubus flagellaris s.l.","Steele's dewberry","Rubus steelei"
"N","Rosaceae","D","","bristle-berry","Rubus stipulatus"
"N","Rosaceae","D","Rubus pensilvanicus s.l.","Lake Superior blackberry","Rubus superioris"
"N","Rosaceae","D","Rubus setosus","thornless dewberry","Rubus uniformis"
"N","Rosaceae","D","Rubus setosus","Vermont bristle-berry","Rubus vermontanus"
"N","Rosaceae","D","Rubus setosus","Wheeler's blackberry","Rubus wheeleri"
"N","Rosaceae","D","Rubus pensilvanicus s.l.","Wisconsin Bristleberry","Rubus wisconsinensis"
"N","Rosaceae","D","Rubus xneglectus","hybrid red raspberry","Rubus xneglectus"
"N","Asteraceae","H","Rudbeckia hirta var. pulcherrima","black-eyed susan","Rudbeckia hirta var. pulcherrima"
"N","Asteraceae","H","Rudbeckia laciniata","cutleaf coneflower","Rudbeckia laciniata var. laciniata"
"I","Asteraceae","H","Rudbeckia subtomentosa","sweet coneflower","Rudbeckia subtomentosa"
"N","Asteraceae","H","Rudbeckia triloba","three-leaved coneflower","Rudbeckia triloba var. triloba"
"N","Acanthaceae","H","Ruellia humilis","wild petunia","Ruellia humilis"
"I","Polygonaceae","H","Rumex acetosa","green sorrel","Rumex acetosa"
"I","Polygonaceae","H","Rumex acetosella","common sheep sorrel","Rumex acetosella"
"N","Polygonaceae","H","Rumex altissimus","tall water dock","Rumex altissimus"
"N","Polygonaceae","H","Rumex orbiculatus","great water dock","Rumex britannica"
"I","Polygonaceae","H","Rumex crispus","curly dock","Rumex crispus"
"N","Polygonaceae","H","Rumex maritimus var. fueginus","golden dock","Rumex fueginus"
"I","Polygonaceae","H","Rumex longifolius","domestic dock","Rumex longifolius"
"I","Polygonaceae","H","Rumex obtusifolius","bitter dock","Rumex obtusifolius"
"I","Polygonaceae","H","Rumex patientia","patience dock","Rumex patientia"
"I","Polygonaceae","H","","field dock","Rumex pseudonatronatus"
"I","Polygonaceae","H","Rumex stenophyllus","narrow-leaved dock","Rumex stenophyllus"
"N","Polygonaceae","H","","Mexican dock","Rumex triangulivalvis"
"N","Polygonaceae","H","Rumex verticillatus","whorled water dock","Rumex verticillatus"
"N","Ruppiaceae","H,S","Ruppia maritima","spiral ditchgrass","Ruppia cirrhosa"
"N","Caryophyllaceae","H","Sagina nodosa var. borealis","knotty pearlwort","Sagina nodosa subsp. borealis"
"I","Caryophyllaceae","H","Sagina procumbens","bird's eye pearlwort","Sagina procumbens"
"N","Alismataceae","H","Sagittaria brevirostra","short-beaked arrowhead","Sagittaria brevirostra"
"N","Alismataceae","H","Sagittaria graminea var. cristata","crested arrowhead","Sagittaria cristata"
"N","Alismataceae","H,S","Sagittaria cuneata","arum-leaved arrowhead","Sagittaria cuneata"
"N","Alismataceae","H","Sagittaria latifolia","broad-leaved arrowhead","Sagittaria latifolia"
"N","Alismataceae","H","Sagittaria calycina","hooded arrowhead","Sagittaria montevidensis subsp. calycina"
"N","Alismataceae","H,S","Sagittaria rigida","sessile-fruited arrowhead","Sagittaria rigida"
"N","Chenopodiaceae","H","Salicornia rubra","red saltwort","Salicornia rubra"
"I","Salicaceae","D","Salix alba","white willow","Salix alba"
"N","Salicaceae","D","Salix amygdaloides","peach-leaved willow","Salix amygdaloides"
"N","Salicaceae","D","Salix bebbiana","Bebb's willow","Salix bebbiana"
"N","Salicaceae","D","Salix candida","sage-leaved willow","Salix candida"
"N","Salicaceae","D","Salix discolor","pussy willow","Salix discolor"
"N","Salicaceae","D","Salix eriocephala s.l.","heart-leaved willow","Salix eriocephala"
"N","Salicaceae","D","Salix eriocephala s.l.","heart-leaved willow","Salix famelica"
"N","Salicaceae","D","Salix humilis","prairie willow","Salix humilis"
"N","Salicaceae","D","Salix humilis","prairie willow","Salix humilis var. humilis"
"N","Salicaceae","D","Salix humilis","prairie willow","Salix humilis var. tristis"
"N","Salicaceae","D","Salix exigua, Salix exigua subsp. interior","sandbar willow","Salix interior"
"N","Salicaceae","D","Salix lucida, Salix lucida var. lucida","shining willow","Salix lucida"
"N","Salicaceae","D","","McCalla's willow","Salix maccalliana"
"N","Salicaceae","D","Salix nigra","black willow","Salix nigra"
"N","Salicaceae","D","Salix pedicellaris","bog willow","Salix pedicellaris"
"N","Salicaceae","D","Salix pellita","satiny willow","Salix pellita"
"I","Salicaceae","D","Salix pentandra","bay-leaved willow","Salix pentandra"
"N","Salicaceae","D","Salix petiolaris","slender willow","Salix petiolaris"
"N","Salicaceae","D","Salix planifolia","diamond-leaved willow","Salix planifolia"
"N","Salicaceae","D","","false mountain willow","Salix pseudomonticola"
"N","Salicaceae","D","Salix pyrifolia","balsam willow","Salix pyrifolia"
"N","Salicaceae","D","Salix sericea","silky willow","Salix sericea"
"N","Salicaceae","D","Salix serissima","autumn willow","Salix serissima"
"I","Salicaceae","D","Salix fragilis","crank willow","Salix xfragilis"
"I","Chenopodiaceae","H","Salsola collina","salsola tumbleweed","Salsola collina"
"I","Chenopodiaceae","H","Salsola tragus","Russian thistle","Salsola tragus"
"I","Lamiaceae","H","Salvia reflexa","lance-leaved sage","Salvia reflexa"
"N","Caprifoliaceae","D","Sambucus canadensis var. canadensis","common elder","Sambucus canadensis var. canadensis"
"N","Caprifoliaceae","D","Sambucus racemosa var. pubens","red-berried elder","Sambucus racemosa var. pubens"
"N","Papaveraceae","H","Sanguinaria canadensis","bloodroot","Sanguinaria canadensis"
"N","Apiaceae","H","Sanicula canadensis","Canadian black snakeroot","Sanicula canadensis"
"N","Apiaceae","H","","Canada black snakeroot","Sanicula canadensis var. canadensis"
"N","Apiaceae","H","","Canada black snakeroot","Sanicula canadensis var. grandis"
"N","Apiaceae","H","Sanicula marilandica","maryland black snakeroot","Sanicula marilandica"
"N","Apiaceae","H","Sanicula gregaria","clustered black snakeroot","Sanicula odorata"
"N","Apiaceae","H","Sanicula trifoliata","beaked snakeroot","Sanicula trifoliata"
"I","Caryophyllaceae","H","Saponaria officinalis","bouncing bet","Saponaria officinalis"
"N","Sarraceniaceae","H","Sarracenia purpurea var. purpurea","pitcher plant","Sarracenia purpurea subsp. purpurea"
"N","Lamiaceae","H","Satureja vulgaris","wild basil","Satureja vulgaris"
"N","Saxifragaceae","H","Saxifraga cernua","nodding saxifrage","Saxifraga cernua"
"N","Saxifragaceae","H","Saxifraga aizoon","encrusted saxifrage","Saxifraga paniculata"
"N","Ophioglossaceae","H","Botrychium dissectum","cutleaf grape-fern","Sceptridium dissectum"
"N","Ophioglossaceae","H","Botrychium multifidum","leathery grape-fern","Sceptridium multifidum"
"N","Ophioglossaceae","H","Botrychium oneidense","blunt-lobed grape-fern","Sceptridium oneidense"
"N","Ophioglossaceae","H","Botrychium rugulosum","Laurentian grape-fern","Sceptridium rugulosum"
"N","Poaceae","G","Schedonnardus paniculatus","tumble grass","Schedonnardus paniculatus"
"I","Poaceae","G","Festuca elatior","tall fescue","Schedonorus arundinaceus"
"I","Poaceae","G","Festuca pratensis","meadow fescue","Schedonorus pratensis"
"N","Scheuchzeriaceae","H","Scheuchzeria palustris","scheuchzeria","Scheuchzeria palustris"
"N","Poaceae","G","Schizachne purpurascens, Schizachne purpurascens var. pubescens, Schizachne purpurascens var. purpurascens","false melic grass","Schizachne purpurascens"
"N","Poaceae","G","Schizachyrium scoparium var. scoparium","little bluestem","Schizachyrium scoparium var. scoparium"
"N","Cyperaceae","G","Scirpus smithii","weak-stalk bulrush","Schoenoplectiella purshiana"
"N","Cyperaceae","G","Scirpus smithii","weak-stalk bulrush","Schoenoplectiella purshiana var. purshiana"
"N","Cyperaceae","G","","weak-stalk bulrush","Schoenoplectiella purshiana var. williamsii"
"N","Cyperaceae","G","Scirpus smithii","blunt-scale bulrush","Schoenoplectiella smithii"
"N","Cyperaceae","G","Scirpus smithii","blunt-scale bulrush","Schoenoplectiella smithii var. setosa"
"N","Cyperaceae","G","Scirpus smithii","blunt-scale bulrush","Schoenoplectiella smithii var. smithii"
"N","Cyperaceae","G","Scirpus acutus","hardstem bulrush","Schoenoplectus acutus var. acutus"
"N","Cyperaceae","G","","bulrush","Schoenoplectus acutus x tabernaemontani"
"N","Cyperaceae","G","Scirpus heterochaetus","slender bulrush","Schoenoplectus heterochaetus"
"N","Cyperaceae","G","Scirpus pungens","three-square bulrush","Schoenoplectus pungens"
"N","Cyperaceae","G","Scirpus subterminalis","swaying bulrush","Schoenoplectus subterminalis"
"N","Cyperaceae","G","Scirpus validus","soft stem bulrush","Schoenoplectus tabernaemontani"
"N","Cyperaceae","G","Scirpus torreyi","Torrey's bulrush","Schoenoplectus torreyi"
"N","Cyperaceae","G","","bulrush","Schoenoplectus xoblongus"
"I","Liliaceae","D","Scilla sibirica","Siberian squill","Scilla siberica"
"N","Cyperaceae","G","Scirpus cyperinus s.l.","black-girdled woolgrass","Scirpus atrocinctus"
"N","Cyperaceae","G","Scirpus atrovirens s.l., Scirpus atrovirens var. atrovirens","dark green bulrush","Scirpus atrovirens"
"N","Cyperaceae","G","Scirpus cyperinus s.l.","woolgrass","Scirpus cyperinus"
"N","Cyperaceae","G","Scirpus georgianus","Georgia bulrush","Scirpus georgianus"
"N","Cyperaceae","G","Scirpus hattorianus","mosquito bulrush","Scirpus hattorianus"
"N","Cyperaceae","G","Scirpus microcarpus","panicled bulrush","Scirpus microcarpus"
"N","Cyperaceae","G","Scirpus atrovirens s.l., Scirpus atrovirens var. pallidus","pale bulrush","Scirpus pallidus"
"N","Cyperaceae","G","Scirpus cyperinus s.l.","stalked bulrush","Scirpus pedicellatus"
"N","Cyperaceae","G","Scirpus pendulus","rufous bulrush","Scirpus pendulus"
"I","Caryophyllaceae","H","Scleranthus annuus","knawel","Scleranthus annuus subsp. annuus"
"I","Caryophyllaceae","H","","perennial knawel","Scleranthus perennis"
"N","Cyperaceae","G","Scleria triglomerata","tall nutrush","Scleria triglomerata"
"N","Cyperaceae","G","Scleria verticillata","whorled nutrush","Scleria verticillata"
"N","unknown","G","Scolochloa festucacea","whitetop","Scolochloa festucacea"
"N","Scrophulariaceae","H","Scrophularia lanceolata","lance-leaved figwort","Scrophularia lanceolata"
"N","Scrophulariaceae","H","Scrophularia marilandica","Maryland figwort","Scrophularia marilandica"
"N","Lamiaceae","H","Scutellaria galericulata","marsh skullcap","Scutellaria galericulata"
"N","Lamiaceae","H","Scutellaria lateriflora","mad dog skullcap","Scutellaria lateriflora"
"N","Lamiaceae","H","Scutellaria leonardii","Leonard's skullcap","Scutellaria leonardii"
"N","Lamiaceae","H","Scutellaria ovata var. versicolor","ovate-leaved skullcap","Scutellaria ovata var. versicolor"
"N","Lamiaceae","H","Scutellaria parvula","prairie skullcap","Scutellaria parvula"
"I","Fabaceae","H","Coronilla varia","crownvetch","Securigera varia"
"I","Crassulaceae","H","Sedum acre","mossy stonecrop","Sedum acre"
"N","Selaginellaceae","H","Selaginella rupestris","rock spikemoss","Selaginella rupestris"
"N","Selaginellaceae","H","Selaginella selaginoides","northern spikemoss","Selaginella selaginoides"
"N","Asteraceae","H","Senecio integerrimus","entire ragwort","Senecio integerrimus var. integerrimus"
"I","Asteraceae","H","Senecio viscosus","sticky ragwort","Senecio viscosus"
"I","Asteraceae","H","Senecio vulgaris","common groundsel","Senecio vulgaris"
"I","Poaceae","G","Setaria faberi","giant foxtail","Setaria faberi"
"I","Poaceae","G","Setaria italica","foxtail millet","Setaria italica"
"I","Poaceae","G","","yellow foxtail","Setaria pumila"
"I","Poaceae","G","","yellow foxtail","Setaria pumila subsp. pallidefusca"
"I","Poaceae","G","Setaria glauca","yellow foxtail","Setaria pumila subsp. pumila"
"I","Poaceae","G","Setaria verticillata","bristly foxtail","Setaria verticillata"
"I","Poaceae","G","Setaria viridis","green foxtail","Setaria viridis"
"I","Poaceae","G","Setaria viridis var. major","green foxtail","Setaria viridis var. major"
"I","Poaceae","G","Setaria viridis var. viridis","green foxtail","Setaria viridis var. viridis"
"N","Elaeagnaceae","D","Shepherdia argentea","buffaloberry","Shepherdia argentea"
"N","Elaeagnaceae","D","Shepherdia canadensis","soapberry","Shepherdia canadensis"
"N","unknown","H","Lygodesmia rostrata","annual skeletonweed","Shinnersoseris rostrata"
"N","Rosaceae","B","Potentilla tridentata","three-toothed cinquefoil","Sibbaldiopsis tridentata"
"N","Cucurbitaceae","H","Sicyos angulatus","bur cucumber","Sicyos angulatus"
"N","Caryophyllaceae","H","Silene antirrhina","sleepy catchfly","Silene antirrhina"
"I","Caryophyllaceae","H","Silene armeria","sweet William catchfly","Silene armeria"
"I","Caryophyllaceae","H","Silene csereii","smooth catchfly","Silene csereii"
"I","Caryophyllaceae","H","Silene dichotoma","forking catchfly","Silene dichotoma subsp. dichotoma"
"I","Caryophyllaceae","H","Silene dioica","red cockle","Silene dioica"
"N","Caryophyllaceae","H","Silene drummondii","Drummond's campion","Silene drummondii subsp. drummondii"
"I","Caryophyllaceae","H","Lychnis flos-cuculi","ragged robin","Silene flos-cuculi subsp. flos-cuculi"
"N","Caryophyllaceae","H","","mountain campion","Silene hitchguirei"
"I","Caryophyllaceae","H","Silene latifolia","white campion","Silene latifolia"
"N","Caryophyllaceae","H","Silene nivea","snowy campion","Silene nivea"
"I","Caryophyllaceae","H","Silene noctiflora","night-flowering campion","Silene noctiflora"
"N","Caryophyllaceae","H","Silene stellata, Silene stellata var. scabrella, Silene stellata var. stellata","starry campion","Silene stellata"
"I","Caryophyllaceae","H","Silene vulgaris","bladder campion","Silene vulgaris subsp. vulgaris"
"N","Asteraceae","H","Silphium laciniatum","compass plant","Silphium laciniatum"
"N","Asteraceae","H","Silphium perfoliatum","cup plant","Silphium perfoliatum var. perfoliatum"
"I","Brassicaceae","H","Sinapis arvensis","wild mustard","Sinapis arvensis"
"I","Brassicaceae","H","Sisymbrium altissimum","tumble mustard","Sisymbrium altissimum"
"I","Brassicaceae","H","Sisymbrium loeselii","tall hedge mustard","Sisymbrium loeselii"
"I","Brassicaceae","H","Sisymbrium officinale","hedge mustard","Sisymbrium officinale"
"N","Iridaceae","H","Sisyrinchium angustifolium","narrowleaf blue-eyed grass","Sisyrinchium angustifolium"
"N","Iridaceae","H","Sisyrinchium campestre","field blue-eyed grass","Sisyrinchium campestre"
"N","Iridaceae","H","Sisyrinchium montanum, Sisyrinchium montanum var. crebrum, Sisyrinchium montanum var. montanum","mountain blue-eyed grass","Sisyrinchium montanum var. montanum"
"N","Iridaceae","H","Sisyrinchium mucronatum","pointed-petal blue-eyed grass","Sisyrinchium mucronatum"
"N","Apiaceae","H","Sium suave","water parsnip","Sium suave"
"N","Smilacaceae","H","Smilax ecirrhata","erect carrion flower","Smilax ecirrhata"
"N","Smilacaceae","H","Smilax herbacea, Smilax herbacea var. herbacea","smooth carrion flower","Smilax herbacea"
"N","Smilacaceae","H","Smilax illinoensis","Illinois carrion flower","Smilax illinoensis"
"N","Smilacaceae","H","Smilax herbacea var. lasioneura","common carrion flower","Smilax lasioneura"
"N","Smilacaceae","C","Smilax hispida","bristly greenbrier","Smilax tamnoides"
"I","Solanaceae","H","","Carolina horsenettle","Solanum carolinense var. carolinense"
"I","Solanaceae","H","Solanum dulcamara","bittersweet nightshade","Solanum dulcamara"
"N","Solanaceae","H","Solanum nigrum var. virginicum","black nightshade","Solanum emulans"
"N","Solanaceae","H","","hairy nightshade","Solanum nitidibaccatum"
"N","Solanaceae","H","Solanum rostratum","buffalo bur","Solanum rostratum"
"N","Solanaceae","H","Solanum triflorum","three-flowered nightshade","Solanum triflorum"
"N","Asteraceae","H","Solidago canadensis s.l.","late goldenrod","Solidago altissima"
"N","Asteraceae","H","Solidago canadensis var. scabra","late goldenrod","Solidago altissima subsp. altissima"
"N","Asteraceae","H","Solidago canadensis var. gilvocanescens","late goldenrod","Solidago altissima subsp. gilvocanescens"
"N","Asteraceae","H","Solidago canadensis s.l.","Canada goldenrod","Solidago canadensis"
"N","Asteraceae","H","Solidago canadensis var. canadensis","Canada goldenrod","Solidago canadensis var. canadensis"
"N","Asteraceae","H","Solidago canadensis var. hargeri","Canada goldenrod","Solidago canadensis var. hargeri"
"N","Asteraceae","H","Solidago flexicaulis","zigzag goldenrod","Solidago flexicaulis"
"N","Asteraceae","H","Solidago gigantea","giant goldenrod","Solidago gigantea"
"N","Asteraceae","H","Solidago hispida, Solidago hispida var. arnoglossa, Solidago hispida var. hispida","hairy goldenrod","Solidago hispida"
"N","Asteraceae","H","Solidago juncea","early goldenrod","Solidago juncea"
"N","Asteraceae","H","Solidago missouriensis, Solidago missouriensis var. fasciculata, Solidago missouriensis var. missouriensis","Missouri goldenrod","Solidago missouriensis"
"N","Asteraceae","H","Solidago mollis","soft goldenrod","Solidago mollis"
"N","Asteraceae","H","Solidago nemoralis","gray goldenrod","Solidago nemoralis"
"N","Asteraceae","H","Solidago nemoralis var. longipetiolata","gray goldenrod","Solidago nemoralis subsp. decemflora"
"N","Asteraceae","H","Solidago nemoralis var. nemoralis","gray goldenrod","Solidago nemoralis subsp. nemoralis"
"N","Asteraceae","H","Solidago ptarmicoides","upland white aster","Solidago ptarmicoides"
"N","Asteraceae","H","Solidago riddellii","Riddell's goldenrod","Solidago riddellii"
"N","Asteraceae","H","Solidago rigida","stiff goldenrod","Solidago rigida"
"N","Asteraceae","H","Solidago rigida var. humilis","stiff goldenrod","Solidago rigida subsp. humilis"
"N","Asteraceae","H","Solidago rigida var. rigida","stiff goldenrod","Solidago rigida subsp. rigida"
"N","Asteraceae","H","Solidago sciaphila","cliff goldenrod","Solidago sciaphila"
"N","Asteraceae","H","Solidago speciosa","showy goldenrod","Solidago speciosa"
"N","Asteraceae","H","Solidago speciosa var. rigidiuscula","showy goldenrod","Solidago speciosa var. rigidiuscula"
"N","Asteraceae","H","Solidago speciosa var. jejunifolia, Solidago speciosa var. speciosa","showy goldenrod","Solidago speciosa var. speciosa"
"N","Asteraceae","H","Solidago uliginosa","bog goldenrod","Solidago uliginosa"
"N","Asteraceae","H","Solidago ulmifolia","elm-leaved goldenrod","Solidago ulmifolia var. ulmifolia"
"N","Asteraceae","H","Solidago xbernardii","bernard's goldenrod","Solidago xbernardii"
"I","Asteraceae","H","Sonchus arvensis s.l.","field sow thistle","Sonchus arvensis"
"I","Asteraceae","H","Sonchus arvensis var. arvensis","field sow thistle","Sonchus arvensis subsp. arvensis"
"I","Asteraceae","H","Sonchus arvensis var. glabrescens","field sow thistle","Sonchus arvensis subsp. uliginosus"
"I","Asteraceae","H","Sonchus asper","spiny sow thistle","Sonchus asper"
"I","Asteraceae","H","Sonchus oleraceus","common sow thistle","Sonchus oleraceus"
"I","unknown","D","Sorbaria sorbifolia","false spiraea","Sorbaria sorbifolia"
"N","Rosaceae","D","Sorbus americana","American mountain ash","Sorbus americana"
"I","Rosaceae","D","Sorbus aucuparia","European mountain ash","Sorbus aucuparia"
"N","Rosaceae","D","Sorbus decora","showy mountain ash","Sorbus decora"
"N","Poaceae","G","Sorghastrum nutans","Indian grass","Sorghastrum nutans"
"N","Sparganiaceae","H","Sparganium americanum","Nuttall's bur-reed","Sparganium americanum"
"N","Sparganiaceae","H","Sparganium androcladum","branching bur-reed","Sparganium androcladum"
"N","Sparganiaceae","H,S","Sparganium angustifolium","narrow-leaved bur-reed","Sparganium angustifolium"
"N","Sparganiaceae","H","Sparganium chlorocarpum, Sparganium emersum s.s.","narrowleaf bur-reed","Sparganium emersum"
"N","Sparganiaceae","H","Sparganium eurycarpum","giant bur-reed","Sparganium eurycarpum"
"N","Sparganiaceae","F,H,S","Sparganium fluctuans","floating bur-reed","Sparganium fluctuans"
"N","Sparganiaceae","H","Sparganium glomeratum","clustered bur-reed","Sparganium glomeratum"
"N","Sparganiaceae","H,S","Sparganium minimum","small bur-reed","Sparganium natans"
