Native Status,Physiognomy,MN DNR Official Name,Common Name,Emerging (New) Taxonomy,Gleason & Cronquist Synonym,doug,gran,pope,stev
N,H,Viola blanda,sweet white violet,Viola incognita,Viola blanda,doug,"","",""
N,H,Viola canadensis var. rugulosa,rugulose violet,Viola rugulosa,Viola canadensis var. rugulosa,doug,gran,pope,stev
N,H,Viola labradorica,dog violet,Viola labradorica,Viola conspersa,doug,"","",""
N,H,Viola nephrophylla,northern bog violet,Viola nephrophylla,Viola nephrophylla,doug,gran,pope,stev
N,H,Viola pedatifida,prairie violet,Viola pedatifida,"Viola palmata, Viola palmata var. pedatifida",doug,gran,pope,stev
N,H,Viola pubescens,yellow violet,Viola pubescens s.s.,Viola pubescens,doug,"",pope,""
N,H,Viola renifolia,kidney-leaved violet,Viola renifolia,Viola renifolia,doug,"","",""
N,H,Viola septentrionalis,northern blue violet (upper Midwest variant),Viola septentrionalis,,doug,"","",""
N,C,Vitis riparia,wild grape,,Vitis riparia,doug,gran,pope,""
N,"F,H",Wolffia borealis,spotted watermeal,,Wolffia punctata,doug,"","",""
N,"F,H",Wolffia columbiana,Columbian watermeal,,Wolffia columbiana,doug,"","",""
N,H,Xanthium strumarium,cocklebur,,"Xanthium strumarium, Xanthium strumarium var. canadense, Xanthium strumarium var. glabratum, Xanthium strumarium var. strumarium",doug,"",pope,""
N,"H,S",Zannichellia palustris,horned pondweed,,Zannichellia palustris,doug,"",pope,stev
N,D,Zanthoxylum americanum,prickly ash,,Zanthoxylum americanum,doug,gran,pope,stev
N,H,Zigadenus elegans,white camas,,"Zigadenus elegans s.l., Zigadenus elegans var. elegans, Zigadenus elegans var. glaucus",doug,gran,pope,""
N,G,Zizania palustris,northern wild rice,,Zizania palustris,"","",pope,""
N,G,Zizania palustris var. palustris,northern wild rice,,Zizania palustris var. palustris,"","",pope,""
N,H,Zizia aptera var. aptera,heart-leaved alexanders,,Zizia aptera,doug,gran,pope,stev
N,H,Zizia aurea,golden alexanders,,Zizia aurea,doug,gran,pope,stev
