Native Status,Physiognomy,MN DNR Official Name,Common Name,Emerging (New) Taxonomy,Gleason & Cronquist Synonym,doug,gran,pope,stev
N,G,Carex pensylvanica,Pennsylvania sedge,,"Carex pensylvanica, Carex pensylvanica var. pensylvanica",doug,gran,pope,""
N,G,Carex praegracilis,very slender sedge,,Carex praegracilis,"","",pope,stev
N,G,Carex prairea,prairie sedge,,Carex prairea,doug,"",pope,""
N,G,Carex projecta,projecting sedge,,Carex projecta,"","",pope,""
N,G,Carex pseudocyperus,cyperus sedge,,Carex pseudocyperus,"",gran,pope,""
N,G,Carex radiata,eastern star sedge,,Carex radiata,doug,"",pope,""
N,G,Carex retrorsa,retrorse sedge,,Carex retrorsa,"","",pope,""
N,G,Carex richardsonii,Richardson's sedge,,Carex richardsonii,"","",pope,""
N,G,Carex rosea,starry sedge,,Carex rosea,"",gran,pope,""
N,G,Carex sartwellii,Sartwell's sedge,,Carex sartwellii,doug,gran,pope,""
N,G,Carex saximontana,Rocky Mountain sedge,,Carex backii s.l.,"","",pope,""
N,G,Carex scoparia,pointed broom sedge,,Carex scoparia,doug,"","",""
N,G,Carex siccata,dry spike sedge,,Carex siccata,"","",pope,""
N,G,Carex sprengelii,Sprengel's sedge,,Carex sprengelii,doug,gran,pope,stev
N,G,Carex sterilis,sterile sedge,,Carex sterilis,"","",pope,""
N,G,Carex stipata var. stipata,awl-fruited sedge,,Carex stipata,doug,gran,pope,""
N,G,Carex stricta,tussock sedge,,Carex stricta,"","",pope,""
N,G,Carex sychnocephala,many-headed sedge,,Carex sychnocephala,"",gran,"",stev
N,G,Carex tenera,quill sedge,,"Carex tenera s.l., Carex tenera var. tenera",doug,"","",""
N,G,Carex tetanica,rigid sedge,,Carex tetanica,doug,gran,pope,stev
N,G,Carex torreyi,Torrey's sedge,,Carex torreyi,doug,"",pope,""
N,G,Carex tribuloides var. tribuloides,blunt broom sedge,,Carex tribuloides,doug,"","",""
N,G,Carex utriculata,beaked sedge,,Carex utriculata,"",gran,pope,""
N,G,Carex vesicaria,inflated sedge,,Carex vesicaria,"","",pope,""
N,G,Carex vulpinoidea,fox sedge,,"Carex vulpinoidea, Carex vulpinoidea var. vulpinoidea",doug,gran,pope,""
N,H,Castilleja coccinea,Indian paintbrush,,Castilleja coccinea,doug,"","",""
N,H,Castilleja sessiliflora,downy paintbrush,,Castilleja sessiliflora,doug,"",pope,stev
N,H,Caulophyllum thalictroides,blue cohosh,,Caulophyllum thalictroides,doug,gran,pope,""
I,C,Celastrus orbiculatus,Oriental bittersweet,,Celastrus orbiculatus,doug,"","",""
N,C,Celastrus scandens,American bittersweet,,Celastrus scandens,doug,gran,pope,stev
N,D,Celtis occidentalis,hackberry,,Celtis occidentalis,doug,gran,pope,""
I,H,Centaurea stoebe subsp. micranthos,spotted knapweed,,Centaurea maculosa,"","",pope,""
