"genus_id","genus","family_id","family"
"693","Arabidopsis","18","Brassicaceae"
"183","Arabis","18","Brassicaceae"
"252","Aralia","25","Araliaceae"
"97","Arctium","5","Asteraceae"
"244","Arctostaphylos","22","Ericaceae"
"398","Arenaria","26","Caryophyllaceae"
"694","Arethusa","23","Orchidaceae"
"695","Argemone","127","Papaveraceae"
"696","Argentina","13","Rosaceae"
"697","Argyrochosma","8","Pteridaceae"
"399","Arisaema","27","Araceae"
"503","Aristida","14","Poaceae"
"509","Aristolochia","28","Aristolochiaceae"
"698","Armoracia","18","Brassicaceae"
"109","Arnoglossum","5","Asteraceae"
"242","Aronia","13","Rosaceae"
"699","Arrhenatherum","14","Poaceae"
"98","Artemisia","5","Asteraceae"
"700","Arthraxon","14","Poaceae"
"701","Arum","27","Araceae"
"702","Aruncus","13","Rosaceae"
"703","Arundinaria","14","Poaceae"
"704","Arundo","14","Poaceae"
"189","Asarum","28","Aristolochiaceae"
"185","Asclepias","24","Apocynaceae"
"1119","Ascyrum","185","Hypericaceae"
"605","Asimina","30","Annonaceae"
"488","Asparagus","16","Liliaceae"
"705","Asperugo","60","Boraginaceae"
"299","Asplenium","31","Aspleniaceae"
"11","Aster","5","Asteraceae"
"472","Astragalus","21","Fabaceae"
"190","Athyrium","32","Dryopteridaceae"
"37","Atrichum","118","Polytrichaceae"
"706","Atriplex","49","Chenopodiaceae"
"473","Aureolaria","11","Scrophulariaceae"
"707","Avena","14","Poaceae"
"1117","Avenella","14","Poaceae"
"708","Azolla","144","Azollaceae"
"709","Bacopa","11","Scrophulariaceae"
"710","Ballota","12","Lamiaceae"
"84","Baptisia","21","Fabaceae"
"514","Barbarea","18","Brassicaceae"
"500","Bartonia","33","Gentianaceae"
"711","Bassia","49","Chenopodiaceae"
"602","Beckmannia","14","Poaceae"
"712","Belamcanda","58","Iridaceae"
"713","Bellis","5","Asteraceae"
"165","Berberis","34","Berberidaceae"
"651","Berchemia","44","Rhamnaceae"
"714","Bergia","153","Elatinaceae"
